"job_id","skill_raw","skill_name","skill_category","is_required","career_category","seniority_level","posting_year","is_entry_level","work_mode"
"REAL_00001","Java 17","Java","Programming Language",TRUE,"Software Engineering","Senior",2026,FALSE,"Hybrid"
"REAL_00001","Spring Boot","Spring Boot","Framework/Library",TRUE,"Software Engineering","Senior",2026,FALSE,"Hybrid"
"REAL_00001","Microservices","Microservices","Tool/Methodology",TRUE,"Software Engineering","Senior",2026,FALSE,"Hybrid"
"REAL_00001","Docker","Docker","Cloud/DevOps",FALSE,"Software Engineering","Senior",2026,FALSE,"Hybrid"
"REAL_00001","PostgreSQL","PostgreSQL","Database",TRUE,"Software Engineering","Senior",2026,FALSE,"Hybrid"
"REAL_00002","Selenium WebDriver","Selenium","Tool/Methodology",TRUE,"QA & Test Automation","Junior",2026,TRUE,"Hybrid"
"REAL_00002","Cypress.io","Cypress","Tool/Methodology",TRUE,"QA & Test Automation","Junior",2026,TRUE,"Hybrid"
"REAL_00002","Java","Java","Programming Language",TRUE,"QA & Test Automation","Junior",2026,TRUE,"Hybrid"
"REAL_00002","TestNG","TestNG","Framework/Library",TRUE,"QA & Test Automation","Junior",2026,TRUE,"Hybrid"
"REAL_00002","JIRA","JIRA","Tool/Methodology",FALSE,"QA & Test Automation","Junior",2026,TRUE,"Hybrid"
"REAL_00003","AWS","AWS","Cloud/DevOps",TRUE,"Cloud & DevOps","Mid",2026,FALSE,"Hybrid"
"REAL_00003","Terraform","Terraform","Cloud/DevOps",TRUE,"Cloud & DevOps","Mid",2026,FALSE,"Hybrid"
"REAL_00003","Kubernetes","Kubernetes","Cloud/DevOps",TRUE,"Cloud & DevOps","Mid",2026,FALSE,"Hybrid"
"REAL_00003","CI/CD","CI/CD","Tool/Methodology",TRUE,"Cloud & DevOps","Mid",2026,FALSE,"Hybrid"
"REAL_00003","Linux","Linux","Tool/Methodology",TRUE,"Cloud & DevOps","Mid",2026,FALSE,"Hybrid"
"REAL_00004","Python 3","Python","Programming Language",TRUE,"Data & AI / ML","Mid",2026,FALSE,"On-site"
"REAL_00004","PyTorch","PyTorch","Framework/Library",TRUE,"Data & AI / ML","Mid",2026,FALSE,"On-site"
"REAL_00004","NLP","NLP","Domain/Other",TRUE,"Data & AI / ML","Mid",2026,FALSE,"On-site"
"REAL_00004","LLM / LangChain","LangChain","Framework/Library",TRUE,"Data & AI / ML","Mid",2026,FALSE,"On-site"
"REAL_00004","SQL","SQL","Database",TRUE,"Data & AI / ML","Mid",2026,FALSE,"On-site"
"REAL_00005","Figma","Figma","Tool/Methodology",TRUE,"UI/UX & Product Design","Mid",2026,FALSE,"Hybrid"
"REAL_00005","Wireframing","Wireframing","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2026,FALSE,"Hybrid"
"REAL_00005","User Research","User Research","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2026,FALSE,"Hybrid"
"REAL_00005","Design Systems","Design Systems","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2026,FALSE,"Hybrid"
"REAL_00006","SIEM","SIEM","Tool/Methodology",TRUE,"Cyber Security","Junior",2026,TRUE,"On-site"
"REAL_00006","Splunk","Splunk","Tool/Methodology",TRUE,"Cyber Security","Junior",2026,TRUE,"On-site"
