"job_id","skill_raw","skill_name","skill_category","is_required","career_category","seniority_level","posting_year","is_entry_level","work_mode"
"SYN_00001","linux","Linux","Tool/Methodology",FALSE,"Cyber Security","Intern",2024,TRUE,"Hybrid"
"SYN_00001","Vulnerability Assessment","Vulnerability Assessment","Domain/Other",FALSE,"Cyber Security","Intern",2024,TRUE,"Hybrid"
"SYN_00001","ISO 27001","ISO 27001","Domain/Other",TRUE,"Cyber Security","Intern",2024,TRUE,"Hybrid"
"SYN_00002","Java","Java","Programming Language",TRUE,"QA & Test Automation","Mid",2024,FALSE,"Hybrid"
"SYN_00002","Cypress.io","Cypress","Tool/Methodology",TRUE,"QA & Test Automation","Mid",2024,FALSE,"Hybrid"
"SYN_00002","postman","Postman","Tool/Methodology",TRUE,"QA & Test Automation","Mid",2024,FALSE,"Hybrid"
"SYN_00002","jira","JIRA","Tool/Methodology",TRUE,"QA & Test Automation","Mid",2024,FALSE,"Hybrid"
"SYN_00002","Manual Testing","Manual Testing","Tool/Methodology",TRUE,"QA & Test Automation","Mid",2024,FALSE,"Hybrid"
"SYN_00003","C#","C#","Programming Language",TRUE,"Software Engineering","Junior",2025,TRUE,"Hybrid"
"SYN_00003","TypeScript","TypeScript","Programming Language",TRUE,"Software Engineering","Junior",2025,TRUE,"Hybrid"
"SYN_00003","mysql","MySQL","Database",TRUE,"Software Engineering","Junior",2025,TRUE,"Hybrid"
"SYN_00003",".NET",".NET","Framework/Library",TRUE,"Software Engineering","Junior",2025,TRUE,"Hybrid"
"SYN_00004","TensorFlow","TensorFlow","Framework/Library",FALSE,"Data & AI / ML","Junior",2016,TRUE,"Remote"
"SYN_00004","Advanced SQL","SQL","Database",TRUE,"Data & AI / ML","Junior",2016,TRUE,"Remote"
"SYN_00004","Pandas","Pandas","Framework/Library",TRUE,"Data & AI / ML","Junior",2016,TRUE,"Remote"
"SYN_00004","PySpark","PySpark","Framework/Library",TRUE,"Data & AI / ML","Junior",2016,TRUE,"Remote"
"SYN_00004","Python 3","Python","Programming Language",TRUE,"Data & AI / ML","Junior",2016,TRUE,"Remote"
"SYN_00004","pytorch","PyTorch","Framework/Library",TRUE,"Data & AI / ML","Junior",2016,TRUE,"Remote"
"SYN_00005","Docker","Docker","Cloud/DevOps",TRUE,"Software Engineering","Junior",2022,TRUE,"Remote"
"SYN_00005","postgres","PostgreSQL","Database",TRUE,"Software Engineering","Junior",2022,TRUE,"Remote"
"SYN_00005","MySQL","MySQL","Database",TRUE,"Software Engineering","Junior",2022,TRUE,"Remote"
"SYN_00005",".NET Core",".NET","Framework/Library",TRUE,"Software Engineering","Junior",2022,TRUE,"Remote"
"SYN_00006","FIGMA","Figma","Tool/Methodology",TRUE,"UI/UX & Product Design","Mid",2019,FALSE,"Hybrid"
"SYN_00006","wireframes","Wireframes","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2019,FALSE,"Hybrid"
"SYN_00006","Design Tokens","Design Tokens","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2019,FALSE,"Hybrid"
"SYN_00006","interactive prototypes","Interactive Prototypes","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2019,FALSE,"Hybrid"
"SYN_00006","User Research","User Research","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2019,FALSE,"Hybrid"
"SYN_00007","Design Systems","Design Systems","Domain/Other",TRUE,"UI/UX & Product Design","Junior",2019,TRUE,"On-site"
"SYN_00007","wireframes","Wireframes","Domain/Other",FALSE,"UI/UX & Product Design","Junior",2019,TRUE,"On-site"
"SYN_00007","interactive prototypes","Interactive Prototypes","Domain/Other",FALSE,"UI/UX & Product Design","Junior",2019,TRUE,"On-site"
"SYN_00007","FIGMA","Figma","Tool/Methodology",TRUE,"UI/UX & Product Design","Junior",2019,TRUE,"On-site"
"SYN_00008","Requirements Analysis","Requirements Analysis","Domain/Other",FALSE,"Management & Business Analysis","Junior",2016,TRUE,"On-site"
"SYN_00008","Sprint Planning","Sprint Planning","Domain/Other",TRUE,"Management & Business Analysis","Junior",2016,TRUE,"On-site"
"SYN_00008","SQL","SQL","Database",TRUE,"Management & Business Analysis","Junior",2016,TRUE,"On-site"
"SYN_00008","JIRA","JIRA","Tool/Methodology",TRUE,"Management & Business Analysis","Junior",2016,TRUE,"On-site"
"SYN_00009","Core Java","Java","Programming Language",TRUE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00009","PostgreSQL","PostgreSQL","Database",TRUE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00009","RESTful API","REST API","Tool/Methodology",TRUE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00009","mysql","MySQL","Database",TRUE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00009","node","Node.js","Framework/Library",TRUE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00010","Python","Python","Programming Language",TRUE,"Data & AI / ML","Junior",2019,TRUE,"Hybrid"
"SYN_00010","power bi","Power BI","Tool/Methodology",TRUE,"Data & AI / ML","Junior",2019,TRUE,"Hybrid"
"SYN_00010","SQL","SQL","Database",TRUE,"Data & AI / ML","Junior",2019,TRUE,"Hybrid"
"SYN_00011","Java","Java","Programming Language",TRUE,"QA & Test Automation","Junior",2019,TRUE,"Hybrid"
"SYN_00011","Manual Testing","Manual Testing","Tool/Methodology",TRUE,"QA & Test Automation","Junior",2019,TRUE,"Hybrid"
"SYN_00011","Cypress","Cypress","Tool/Methodology",FALSE,"QA & Test Automation","Junior",2019,TRUE,"Hybrid"
"SYN_00011","JMeter","JMeter","Tool/Methodology",FALSE,"QA & Test Automation","Junior",2019,TRUE,"Hybrid"
"SYN_00011","Selenium","Selenium","Tool/Methodology",FALSE,"QA & Test Automation","Junior",2019,TRUE,"Hybrid"
"SYN_00012","NodeJS","Node.js","Framework/Library",TRUE,"Software Engineering","Mid",2024,FALSE,"Hybrid"
"SYN_00012","TS","TypeScript","Programming Language",TRUE,"Software Engineering","Mid",2024,FALSE,"Hybrid"
"SYN_00012","react.js","React","Framework/Library",TRUE,"Software Engineering","Mid",2024,FALSE,"Hybrid"
"SYN_00012","Spring Boot","Spring Boot","Framework/Library",TRUE,"Software Engineering","Mid",2024,FALSE,"Hybrid"
"SYN_00013","JIRA","JIRA","Tool/Methodology",FALSE,"Management & Business Analysis","Junior",2026,TRUE,"On-site"
"SYN_00013","Business Analysis","Business Analysis","Domain/Other",TRUE,"Management & Business Analysis","Junior",2026,TRUE,"On-site"
"SYN_00013","Agile/Scrum","Agile","Tool/Methodology",FALSE,"Management & Business Analysis","Junior",2026,TRUE,"On-site"
"SYN_00013","sql","SQL","Database",TRUE,"Management & Business Analysis","Junior",2026,TRUE,"On-site"
"SYN_00014","spring-boot","Spring Boot","Framework/Library",FALSE,"Software Engineering","Mid",2017,FALSE,"Remote"
"SYN_00014","Docker","Docker","Cloud/DevOps",TRUE,"Software Engineering","Mid",2017,FALSE,"Remote"
"SYN_00014","ReactJS","React","Framework/Library",TRUE,"Software Engineering","Mid",2017,FALSE,"Remote"
"SYN_00014",".NET Core",".NET","Framework/Library",TRUE,"Software Engineering","Mid",2017,FALSE,"Remote"
"SYN_00014","NodeJS","Node.js","Framework/Library",TRUE,"Software Engineering","Mid",2017,FALSE,"Remote"
"SYN_00015","MySQL","MySQL","Database",FALSE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00015","TS","TypeScript","Programming Language",TRUE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00015","spring-boot","Spring Boot","Framework/Library",TRUE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00015","Python3","Python","Programming Language",TRUE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00015","Core Java","Java","Programming Language",TRUE,"Software Engineering","Mid",2021,FALSE,"On-site"
"SYN_00016","java","Java","Programming Language",FALSE,"Software Engineering","Senior",2023,FALSE,"On-site"
"SYN_00016","Spring Boot","Spring Boot","Framework/Library",TRUE,"Software Engineering","Senior",2023,FALSE,"On-site"
"SYN_00016","Python3","Python","Programming Language",FALSE,"Software Engineering","Senior",2023,FALSE,"On-site"
"SYN_00016","RESTful API","REST API","Tool/Methodology",TRUE,"Software Engineering","Senior",2023,FALSE,"On-site"
"SYN_00016","typescript","TypeScript","Programming Language",TRUE,"Software Engineering","Senior",2023,FALSE,"On-site"
"SYN_00017","Design Systems","Design Systems","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2016,FALSE,"Remote"
"SYN_00017","Figma","Figma","Tool/Methodology",TRUE,"UI/UX & Product Design","Mid",2016,FALSE,"Remote"
"SYN_00017","wireframes","Wireframes","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2016,FALSE,"Remote"
"SYN_00017","UX Research","UX Research","Domain/Other",TRUE,"UI/UX & Product Design","Mid",2016,FALSE,"Remote"
"SYN_00018","PostgreSQL","PostgreSQL","Database",TRUE,"Software Engineering","Lead",2019,FALSE,"Hybrid"
