job_id,skill_raw,skill_name,skill_category,is_required
REAL_00001,Java 17,Java,Programming Language,TRUE
REAL_00001,Spring Boot,Spring Boot,Framework/Library,TRUE
REAL_00001,Microservices,Microservices,Tool/Methodology,TRUE
REAL_00001,Docker,Docker,Cloud/DevOps,FALSE
REAL_00001,PostgreSQL,PostgreSQL,Database,TRUE
REAL_00002,Selenium WebDriver,Selenium,Tool/Methodology,TRUE
REAL_00002,Cypress.io,Cypress,Tool/Methodology,TRUE
REAL_00002,Java,Java,Programming Language,TRUE
REAL_00002,TestNG,TestNG,Framework/Library,TRUE
REAL_00002,JIRA,JIRA,Tool/Methodology,FALSE
REAL_00003,AWS,AWS,Cloud/DevOps,TRUE
REAL_00003,Terraform,Terraform,Cloud/DevOps,TRUE
REAL_00003,Kubernetes,Kubernetes,Cloud/DevOps,TRUE
REAL_00003,CI/CD,CI/CD,Tool/Methodology,TRUE
REAL_00003,Linux,Linux,Tool/Methodology,TRUE
REAL_00004,Python 3,Python,Programming Language,TRUE
REAL_00004,PyTorch,PyTorch,Framework/Library,TRUE
REAL_00004,NLP,NLP,Domain/Other,TRUE
REAL_00004,LLM / LangChain,LangChain,Framework/Library,TRUE
REAL_00004,SQL,SQL,Database,TRUE
REAL_00005,Figma,Figma,Tool/Methodology,TRUE
REAL_00005,Wireframing,Wireframing,Tool/Methodology,TRUE
REAL_00005,User Research,User Research,Domain/Other,TRUE
REAL_00005,Design Systems,Design Systems,Tool/Methodology,TRUE
REAL_00006,SIEM,SIEM,Tool/Methodology,TRUE
REAL_00006,Splunk,Splunk,Tool/Methodology,TRUE
REAL_00006,SOC Operations,SOC,Domain/Other,TRUE
REAL_00006,Network Security,Network Security,Domain/Other,TRUE
REAL_00007,React.js,React,Framework/Library,TRUE
REAL_00007,NodeJS,Node.js,Framework/Library,TRUE
REAL_00007,TypeScript,TypeScript,Programming Language,TRUE
REAL_00007,PostgreSQL,PostgreSQL,Database,TRUE
REAL_00007,AWS,AWS,Cloud/DevOps,FALSE
REAL_00008,JavaScript,JavaScript,Programming Language,TRUE
REAL_00008,React,React,Framework/Library,TRUE
REAL_00008,HTML5/CSS3,HTML/CSS,Programming Language,TRUE
REAL_00008,Git,Git,Tool/Methodology,TRUE
REAL_00009,Business Analysis,Business Analysis,Domain/Other,TRUE
REAL_00009,Agile/Scrum,Agile,Tool/Methodology,TRUE
REAL_00009,JIRA,JIRA,Tool/Methodology,TRUE
REAL_00009,SQL Queries,SQL,Database,TRUE
REAL_00010,Cisco Routing & Switching,Cisco,Tool/Methodology,TRUE
REAL_00010,Linux Administration,Linux,Tool/Methodology,TRUE
REAL_00010,Windows Server,Windows Server,Tool/Methodology,TRUE
REAL_00010,Firewall Management,Network Security,Domain/Other,TRUE
REAL_00011,C# .NET Core,C#,Programming Language,TRUE
REAL_00011,.NET Core,.NET,Framework/Library,TRUE
REAL_00011,Angular 14+,Angular,Framework/Library,TRUE
REAL_00011,MS SQL Server,Microsoft SQL Server,Database,TRUE
REAL_00012,Manual Testing,Manual Testing,Tool/Methodology,TRUE
REAL_00012,Postman,Postman,Tool/Methodology,TRUE
REAL_00012,RestAssured,RestAssured,Framework/Library,TRUE
REAL_00012,API Testing,API Testing,Tool/Methodology,TRUE
REAL_00013,AWS Security,AWS,Cloud/DevOps,TRUE
REAL_00013,Azure Cloud,Azure,Cloud/DevOps,TRUE
REAL_00013,IAM,IAM,Domain/Other,TRUE
REAL_00013,Kubernetes Security,Kubernetes,Cloud/DevOps,TRUE
REAL_00014,PySpark,PySpark,Framework/Library,TRUE
REAL_00014,Python,Python,Programming Language,TRUE
REAL_00014,Azure Synapse,Azure,Cloud/DevOps,TRUE
REAL_00014,SQL Server,Microsoft SQL Server,Database,TRUE
REAL_00014,ETL Pipelines,ETL,Tool/Methodology,TRUE
REAL_00015,Windows 10/11,Windows Server,Tool/Methodology,TRUE
REAL_00015,Active Directory,Active Directory,Tool/Methodology,TRUE
REAL_00015,Troubleshooting,Hardware,Domain/Other,TRUE
REAL_00015,Hardware Support,Hardware,Domain/Other,TRUE
REAL_00016,Scrum / Agile,Agile,Tool/Methodology,TRUE
REAL_00016,JIRA / Confluence,JIRA,Tool/Methodology,TRUE
REAL_00016,Project Management,Project Management,Domain/Other,TRUE
REAL_00016,Sprint Planning,Agile,Tool/Methodology,TRUE
REAL_00017,Flutter,Flutter,Framework/Library,TRUE
REAL_00017,Dart,Dart,Programming Language,TRUE
REAL_00017,REST APIs,REST API,Tool/Methodology,TRUE
REAL_00017,State Management,Flutter,Framework/Library,TRUE
REAL_00018,Python,Python,Programming Language,TRUE
REAL_00018,OpenCV,OpenCV,Framework/Library,TRUE
REAL_00018,PyTorch,PyTorch,Framework/Library,TRUE
REAL_00018,TensorFlow,TensorFlow,Framework/Library,FALSE
REAL_00019,Docker,Docker,Cloud/DevOps,TRUE
REAL_00019,Kubernetes,Kubernetes,Cloud/DevOps,TRUE
REAL_00019,Prometheus,Prometheus,Tool/Methodology,TRUE
REAL_00019,Grafana,Grafana,Tool/Methodology,TRUE
REAL_00019,Linux Shell Scripting,Linux,Tool/Methodology,TRUE
REAL_00020,Figma,Figma,Tool/Methodology,TRUE
REAL_00020,UI Design,UI/UX,Domain/Other,TRUE
REAL_00020,Prototyping,Prototyping,Tool/Methodology,TRUE
REAL_00021,Golang,Go,Programming Language,TRUE
REAL_00021,gRPC,gRPC,Framework/Library,TRUE
REAL_00021,Microservices Architecture,Microservices,Tool/Methodology,TRUE
REAL_00021,PostgreSQL,PostgreSQL,Database,TRUE
REAL_00022,Manual QA,Manual Testing,Tool/Methodology,TRUE
