job_id,skill_raw,skill_name,skill_category,is_required
JOB_00001,Java 17,Java,Programming Language,TRUE
JOB_00001,Spring Boot,Spring Boot,Framework/Library,TRUE
JOB_00001,Microservices,Microservices,Tool/Methodology,TRUE
JOB_00001,Docker,Docker,Cloud/DevOps,FALSE
JOB_00001,PostgreSQL,PostgreSQL,Database,TRUE
JOB_00002,Selenium WebDriver,Selenium,Tool/Methodology,TRUE
JOB_00002,Cypress.io,Cypress,Tool/Methodology,TRUE
JOB_00002,Java,Java,Programming Language,TRUE
JOB_00002,TestNG,TestNG,Framework/Library,TRUE
JOB_00002,JIRA,JIRA,Tool/Methodology,FALSE
JOB_00003,AWS,AWS,Cloud/DevOps,TRUE
JOB_00003,Terraform,Terraform,Cloud/DevOps,TRUE
JOB_00003,Kubernetes,Kubernetes,Cloud/DevOps,TRUE
JOB_00003,CI/CD,CI/CD,Tool/Methodology,TRUE
JOB_00003,Linux,Linux,Tool/Methodology,TRUE
JOB_00004,Python 3,Python,Programming Language,TRUE
JOB_00004,PyTorch,PyTorch,Framework/Library,TRUE
JOB_00004,NLP,NLP,Domain/Other,TRUE
JOB_00004,LLM / LangChain,LangChain,Framework/Library,TRUE
JOB_00004,SQL,SQL,Database,TRUE
JOB_00005,Figma,Figma,Tool/Methodology,TRUE
JOB_00005,Wireframing,Wireframing,Tool/Methodology,TRUE
JOB_00005,User Research,User Research,Domain/Other,TRUE
JOB_00005,Design Systems,Design Systems,Tool/Methodology,TRUE
JOB_00006,SIEM,SIEM,Tool/Methodology,TRUE
JOB_00006,Splunk,Splunk,Tool/Methodology,TRUE
JOB_00006,SOC Operations,SOC,Domain/Other,TRUE
JOB_00006,Network Security,Network Security,Domain/Other,TRUE
JOB_00007,React.js,React,Framework/Library,TRUE
JOB_00007,NodeJS,Node.js,Framework/Library,TRUE
JOB_00007,TypeScript,TypeScript,Programming Language,TRUE
JOB_00007,PostgreSQL,PostgreSQL,Database,TRUE
JOB_00007,AWS,AWS,Cloud/DevOps,FALSE
JOB_00008,JavaScript,JavaScript,Programming Language,TRUE
JOB_00008,React,React,Framework/Library,TRUE
JOB_00008,HTML5/CSS3,HTML/CSS,Programming Language,TRUE
JOB_00008,Git,Git,Tool/Methodology,TRUE
JOB_00009,Business Analysis,Business Analysis,Domain/Other,TRUE
JOB_00009,Agile/Scrum,Agile,Tool/Methodology,TRUE
JOB_00009,JIRA,JIRA,Tool/Methodology,TRUE
JOB_00009,SQL Queries,SQL,Database,TRUE
JOB_00010,Cisco Routing & Switching,Cisco,Tool/Methodology,TRUE
JOB_00010,Linux Administration,Linux,Tool/Methodology,TRUE
JOB_00010,Windows Server,Windows Server,Tool/Methodology,TRUE
JOB_00010,Firewall Management,Network Security,Domain/Other,TRUE
JOB_00011,C# .NET Core,C#,Programming Language,TRUE
JOB_00011,.NET Core,.NET,Framework/Library,TRUE
JOB_00011,Angular 14+,Angular,Framework/Library,TRUE
JOB_00011,MS SQL Server,Microsoft SQL Server,Database,TRUE
JOB_00012,Manual Testing,Manual Testing,Tool/Methodology,TRUE
JOB_00012,Postman,Postman,Tool/Methodology,TRUE
JOB_00012,RestAssured,RestAssured,Framework/Library,TRUE
JOB_00012,API Testing,API Testing,Tool/Methodology,TRUE
JOB_00013,AWS Security,AWS,Cloud/DevOps,TRUE
JOB_00013,Azure Cloud,Azure,Cloud/DevOps,TRUE
JOB_00013,IAM,IAM,Domain/Other,TRUE
JOB_00013,Kubernetes Security,Kubernetes,Cloud/DevOps,TRUE
JOB_00014,PySpark,PySpark,Framework/Library,TRUE
JOB_00014,Python,Python,Programming Language,TRUE
JOB_00014,Azure Synapse,Azure,Cloud/DevOps,TRUE
JOB_00014,SQL Server,Microsoft SQL Server,Database,TRUE
JOB_00014,ETL Pipelines,ETL,Tool/Methodology,TRUE
JOB_00015,Windows 10/11,Windows,Tool/Methodology,TRUE
JOB_00015,Active Directory,Active Directory,Tool/Methodology,TRUE
JOB_00015,Troubleshooting,Troubleshooting,Domain/Other,TRUE
JOB_00015,Hardware Support,Hardware,Domain/Other,TRUE
JOB_00016,Scrum / Agile,Agile,Tool/Methodology,TRUE
JOB_00016,JIRA / Confluence,JIRA,Tool/Methodology,TRUE
JOB_00016,Project Management,Project Management,Domain/Other,TRUE
JOB_00016,Sprint Planning,Agile,Tool/Methodology,TRUE
JOB_00017,Flutter,Flutter,Framework/Library,TRUE
JOB_00017,Dart,Dart,Programming Language,TRUE
JOB_00017,REST APIs,REST API,Tool/Methodology,TRUE
JOB_00017,State Management (Bloc/Provider),Flutter,Framework/Library,TRUE
JOB_00018,Python,Python,Programming Language,TRUE
JOB_00018,OpenCV,OpenCV,Framework/Library,TRUE
JOB_00018,PyTorch,PyTorch,Framework/Library,TRUE
JOB_00018,TensorFlow,TensorFlow,Framework/Library,FALSE
JOB_00019,Docker,Docker,Cloud/DevOps,TRUE
JOB_00019,Kubernetes,Kubernetes,Cloud/DevOps,TRUE
JOB_00019,Prometheus,Prometheus,Tool/Methodology,TRUE
JOB_00019,Grafana,Grafana,Tool/Methodology,TRUE
JOB_00019,Linux Shell Scripting,Linux,Tool/Methodology,TRUE
JOB_00020,Figma,Figma,Tool/Methodology,TRUE
JOB_00020,UI Design,UI/UX,Domain/Other,TRUE
JOB_00020,Prototyping,Prototyping,Tool/Methodology,TRUE
JOB_00021,Golang,Go,Programming Language,TRUE
JOB_00021,gRPC,gRPC,Framework/Library,TRUE
JOB_00021,Microservices Architecture,Microservices,Tool/Methodology,TRUE
JOB_00021,PostgreSQL,PostgreSQL,Database,TRUE
JOB_00022,Manual QA,Manual Testing,Tool/Methodology,TRUE
JOB_00022,Bug Reporting,JIRA,Tool/Methodology,TRUE
JOB_00022,Test Cases,QA Testing,Tool/Methodology,TRUE
JOB_00023,Burp Suite,Burp Suite,Tool/Methodology,TRUE
JOB_00023,OWASP Top 10,OWASP,Domain/Other,TRUE
JOB_00023,Kali Linux,Linux,Tool/Methodology,TRUE
JOB_00023,Vulnerability Assessment,Cyber Security,Domain/Other,TRUE
JOB_00024,Desktop Support,Hardware,Domain/Other,TRUE
JOB_00024,Active Directory,Active Directory,Tool/Methodology,TRUE
JOB_00024,LAN/WAN Troubleshooting,Networking,Domain/Other,TRUE
JOB_00025,React Native,React Native,Framework/Library,TRUE
JOB_00025,TypeScript,TypeScript,Programming Language,TRUE
JOB_00025,Redux,Redux,Framework/Library,TRUE
JOB_00025,Mobile CI/CD,CI/CD,Tool/Methodology,FALSE
JOB_00026,Power BI,Power BI,Tool/Methodology,TRUE
JOB_00026,SQL Server,Microsoft SQL Server,Database,TRUE
JOB_00026,Excel (Advanced),Excel,Tool/Methodology,TRUE
JOB_00026,Data Modeling,Data Modeling,Domain/Other,TRUE
JOB_00027,Product Backlog Management,Product Management,Domain/Other,TRUE
JOB_00027,User Stories,Agile,Tool/Methodology,TRUE
JOB_00027,Agile Methodologies,Agile,Tool/Methodology,TRUE
JOB_00028,Microsoft Azure,Azure,Cloud/DevOps,TRUE
JOB_00028,Terraform,Terraform,Cloud/DevOps,TRUE
JOB_00028,Kubernetes (AKS),Kubernetes,Cloud/DevOps,TRUE
JOB_00028,CI/CD Pipelines,CI/CD,Tool/Methodology,TRUE
JOB_00029,Playwright,Playwright,Tool/Methodology,TRUE
JOB_00029,TypeScript,TypeScript,Programming Language,TRUE
JOB_00029,Selenium,Selenium,Tool/Methodology,TRUE
JOB_00029,Test Automation Architecture,QA Testing,Domain/Other,TRUE
JOB_00030,Java,Java,Programming Language,TRUE
JOB_00030,OOP Concepts,Software Engineering,Domain/Other,TRUE
JOB_00030,SQL,SQL,Database,TRUE
JOB_00030,Git,Git,Tool/Methodology,TRUE
JOB_00031,Figma,Figma,Tool/Methodology,TRUE
JOB_00031,Design Tokens,Design Systems,Tool/Methodology,TRUE
JOB_00031,Mobile & Web UI,UI/UX,Domain/Other,TRUE
JOB_00032,SOC Management,SOC,Domain/Other,TRUE
JOB_00032,Threat Hunting,Cyber Security,Domain/Other,TRUE
JOB_00032,Incident Response,Incident Response,Domain/Other,TRUE
JOB_00033,PHP,PHP,Programming Language,TRUE
JOB_00033,Laravel 10,Laravel,Framework/Library,TRUE
JOB_00033,Vue.js,Vue,Framework/Library,TRUE
JOB_00033,MySQL,MySQL,Database,TRUE
JOB_00034,Python,Python,Programming Language,TRUE
JOB_00034,LangChain,LangChain,Framework/Library,TRUE
JOB_00034,RAG,RAG,Domain/Other,TRUE
JOB_00034,Pinecone / ChromaDB,Vector Database,Database,TRUE
JOB_00035,NOC Monitoring,NOC,Domain/Other,TRUE
JOB_00035,SolarWinds / Zabbix,Monitoring Tools,Tool/Methodology,TRUE
JOB_00035,TCP/IP,Networking,Domain/Other,TRUE
JOB_00036,ERP Systems,ERP,Domain/Other,TRUE
JOB_00036,Requirements Analysis,Business Analysis,Domain/Other,TRUE
JOB_00036,BPMN,BPMN,Tool/Methodology,TRUE
JOB_00037,Python 3,Python,Programming Language,TRUE
JOB_00037,Django,Django,Framework/Library,TRUE
JOB_00037,ReactJS,React,Framework/Library,TRUE
JOB_00037,PostgreSQL,PostgreSQL,Database,TRUE
JOB_00038,JMeter,JMeter,Tool/Methodology,TRUE
JOB_00038,K6,K6,Tool/Methodology,TRUE
