"Skill_Name","Occurrences","Penetration_Pct","skill_category"
"Python",9,11.25,"Programming Language"
"Kubernetes",8,10,"Cloud/DevOps"
"Figma",7,8.75,"Tool/Methodology"
"Linux",7,8.75,"Tool/Methodology"
"PostgreSQL",7,8.75,"Database"
"SQL",7,8.75,"Database"
"Java",6,7.5,"Programming Language"
"JIRA",6,7.5,"Tool/Methodology"
"React",6,7.5,"Framework/Library"
"TypeScript",6,7.5,"Programming Language"
"AWS",5,6.25,"Cloud/DevOps"
"Microsoft SQL Server",5,6.25,"Database"
"Terraform",5,6.25,"Cloud/DevOps"
"Active Directory",4,5,"Tool/Methodology"
"Docker",4,5,"Cloud/DevOps"
".NET",3,3.75,"Framework/Library"
"Agile",3,3.75,"Tool/Methodology"
"Git",3,3.75,"Tool/Methodology"
"Manual Testing",3,3.75,"Tool/Methodology"
"Microservices",3,3.75,"Tool/Methodology"
"Power BI",3,3.75,"Tool/Methodology"
"Spring Boot",3,3.75,"Framework/Library"
"User Research",3,3.75,"Domain/Other"
"API Testing",2,2.5,"Domain/Other"
"C#",2,2.5,"Programming Language"
"Cloud Architecture",2,2.5,"Domain/Other"
"Cypress",2,2.5,"Tool/Methodology"
"Design Systems",2,2.5,"Domain/Other"
"Excel",2,2.5,"Domain/Other"
"JavaScript",2,2.5,"Programming Language"
"JMeter",2,2.5,"Tool/Methodology"
"LangChain",2,2.5,"Framework/Library"
"Network Security",2,2.5,"Domain/Other"
"Node.js",2,2.5,"Framework/Library"
"OOP Concepts",2,2.5,"Domain/Other"
"Performance Testing",2,2.5,"Domain/Other"
"Playwright",2,2.5,"Tool/Methodology"
"Prometheus",2,2.5,"Domain/Other"
"Prototyping",2,2.5,"Domain/Other"
"PyTorch",2,2.5,"Framework/Library"
"Selenium",2,2.5,"Tool/Methodology"
"SIEM",2,2.5,"Tool/Methodology"
"Splunk",2,2.5,"Tool/Methodology"
"UI Design",2,2.5,"Domain/Other"
"Vulnerability Assessment",2,2.5,"Domain/Other"
"Windows Server",2,2.5,"Tool/Methodology"
"Agile Coaching",1,1.25,"Domain/Other"
"Agile Methodologies",1,1.25,"Domain/Other"
"Angular",1,1.25,"Framework/Library"
"Ansible",1,1.25,"Domain/Other"
"Apache Kafka",1,1.25,"Domain/Other"
"Appium",1,1.25,"Domain/Other"
"ArgoCD",1,1.25,"Domain/Other"
"AWS / GCP",1,1.25,"Domain/Other"
"AWS Security",1,1.25,"Domain/Other"
"Azure",1,1.25,"Cloud/DevOps"
"Azure Cloud",1,1.25,"Domain/Other"
"Azure Data Factory",1,1.25,"Domain/Other"
"Azure Synapse",1,1.25,"Domain/Other"
"Bash Scripting",1,1.25,"Domain/Other"
"BPMN",1,1.25,"Domain/Other"
"Bug Reporting",1,1.25,"Domain/Other"
"Burp Suite",1,1.25,"Domain/Other"
"Business Analysis",1,1.25,"Domain/Other"
"C# .net Core",1,1.25,"Domain/Other"
"C++",1,1.25,"Programming Language"
"CI/CD",1,1.25,"Tool/Methodology"
"CI/CD Pipelines",1,1.25,"Domain/Other"
"CI/CD Security",1,1.25,"Domain/Other"
"Cisco Routing & Switching",1,1.25,"Domain/Other"
"Dart",1,1.25,"Programming Language"
"Data Modeling",1,1.25,"Domain/Other"
"DAX",1,1.25,"Programming Language"
"DBT",1,1.25,"Domain/Other"
"Design Leadership",1,1.25,"Domain/Other"
"Design Tokens",1,1.25,"Domain/Other"
"Desktop Support",1,1.25,"Domain/Other"
"DevSecOps",1,1.25,"Cloud/DevOps"
"Django",1,1.25,"Framework/Library"
"Enterprise Architecture",1,1.25,"Domain/Other"
"ERP Systems",1,1.25,"Domain/Other"
"ETL Pipelines",1,1.25,"Domain/Other"
"FastAPI",1,1.25,"Domain/Other"
"Firewall Management",1,1.25,"Domain/Other"
"Flutter",1,1.25,"Framework/Library"
"Fortinet Firewalls",1,1.25,"Domain/Other"
"Functional Specifications",1,1.25,"Domain/Other"
"GCP",1,1.25,"Cloud/DevOps"
"GitLab CI / GitHub Actions",1,1.25,"Domain/Other"
"Go",1,1.25,"Programming Language"
"Grafana",1,1.25,"Domain/Other"
"GRC",1,1.25,"Domain/Other"
"gRPC",1,1.25,"Framework/Library"
"Hadoop/Data Lake",1,1.25,"Domain/Other"
"Hardware Support",1,1.25,"Domain/Other"
"Hardware Troubleshooting",1,1.25,"Domain/Other"
"Helpdesk Support",1,1.25,"Domain/Other"
"HTML/CSS",1,1.25,"Programming Language"
"IAM",1,1.25,"Domain/Other"
"Incident Response",1,1.25,"Domain/Other"
"Infrastructure as Code",1,1.25,"Domain/Other"
"ISO 27001",1,1.25,"Domain/Other"
"JIRA Service Management",1,1.25,"Domain/Other"
"K6",1,1.25,"Tool/Methodology"
"Kafka",1,1.25,"Domain/Other"
"Kali Linux",1,1.25,"Domain/Other"
"Kubernetes Security",1,1.25,"Domain/Other"
"LAN/WAN Troubleshooting",1,1.25,"Domain/Other"
"Laravel",1,1.25,"Framework/Library"
"Linux Shell Scripting",1,1.25,"Domain/Other"
"Low Latency Architecture",1,1.25,"Domain/Other"
"Machine Learning",1,1.25,"Domain/Other"
"Microservices Architecture",1,1.25,"Domain/Other"
"Mobile & Web UI",1,1.25,"Domain/Other"
"Mobile CI/CD",1,1.25,"Domain/Other"
"Multithreading",1,1.25,"Domain/Other"
"MySQL",1,1.25,"Database"
"Networking",1,1.25,"Domain/Other"
"Next.js",1,1.25,"Framework/Library"
"NLP",1,1.25,"Domain/Other"
"NOC Monitoring",1,1.25,"Domain/Other"
"OpenCV",1,1.25,"Framework/Library"
"OWASP Top 10",1,1.25,"Domain/Other"
"Palo Alto Networks",1,1.25,"Domain/Other"
"Pandas",1,1.25,"Framework/Library"
"PHP",1,1.25,"Programming Language"
"Postman",1,1.25,"Tool/Methodology"
"Product Backlog Management",1,1.25,"Domain/Other"
"Project Management",1,1.25,"Domain/Other"
"PySpark",1,1.25,"Framework/Library"
"R",1,1.25,"Domain/Other"
"RAG",1,1.25,"Domain/Other"
"Rails",1,1.25,"Framework/Library"
"React Native",1,1.25,"Framework/Library"
"Redux",1,1.25,"Framework/Library"
"Requirements Analysis",1,1.25,"Domain/Other"
"Requirements Gathering",1,1.25,"Domain/Other"
"REST API",1,1.25,"Tool/Methodology"
"RestAssured",1,1.25,"Framework/Library"
"Ruby",1,1.25,"Programming Language"
"Scala",1,1.25,"Programming Language"
"Scikit-Learn",1,1.25,"Framework/Library"
"Scrum / Agile",1,1.25,"Domain/Other"
"Scrum Framework",1,1.25,"Domain/Other"
"Security Audit",1,1.25,"Domain/Other"
"Snowflake",1,1.25,"Domain/Other"
"SOC Management",1,1.25,"Domain/Other"
"SOC Operations",1,1.25,"Domain/Other"
"SolarWinds / Zabbix",1,1.25,"Domain/Other"
"SonarQube",1,1.25,"Tool/Methodology"
"Spark",1,1.25,"Framework/Library"
"Sprint Planning",1,1.25,"Domain/Other"
"State Management",1,1.25,"Domain/Other"
"Tailwind CSS",1,1.25,"Framework/Library"
"TCP/IP",1,1.25,"Domain/Other"
"Team Leadership",1,1.25,"Domain/Other"
"TensorFlow",1,1.25,"Framework/Library"
"Test Automation Architecture",1,1.25,"Domain/Other"
"Test Case Writing",1,1.25,"Domain/Other"
"Test Cases",1,1.25,"Domain/Other"
"TestNG",1,1.25,"Framework/Library"
"Threat Hunting",1,1.25,"Domain/Other"
"Threat Intel",1,1.25,"Domain/Other"
"Troubleshooting",1,1.25,"Domain/Other"
"User Journey Mapping",1,1.25,"Domain/Other"
"User Stories",1,1.25,"Domain/Other"
"Vector Database",1,1.25,"Database"
"VMware vSphere",1,1.25,"Domain/Other"
"VPN / IPSec",1,1.25,"Domain/Other"
"Vue",1,1.25,"Framework/Library"
"Windows 10/11",1,1.25,"Domain/Other"
"Windows Server 2022",1,1.25,"Domain/Other"
"Wireframing",1,1.25,"Domain/Other"
"Wireframing & Prototyping",1,1.25,"Domain/Other"
