"Career_Category","Period","Count"
"Cloud & DevOps","2016-2019",15
"Cyber Security","2016-2019",8
"Data & AI / ML","2016-2019",11
"IT Systems & Infrastructure","2016-2019",3
"Management & Business Analysis","2016-2019",6
"QA & Test Automation","2016-2019",29
"Software Engineering","2016-2019",55
"UI/UX & Product Design","2016-2019",10
"Cloud & DevOps","2020-2022",11
"Cyber Security","2020-2022",1
"Data & AI / ML","2020-2022",9
"IT Systems & Infrastructure","2020-2022",3
"Management & Business Analysis","2020-2022",5
"QA & Test Automation","2020-2022",17
"Software Engineering","2020-2022",27
"UI/UX & Product Design","2020-2022",3
"Cloud & DevOps","2023-2026",8
"Cyber Security","2023-2026",3
"Data & AI / ML","2023-2026",6
"IT Systems & Infrastructure","2023-2026",2
"Management & Business Analysis","2023-2026",5
"QA & Test Automation","2023-2026",16
"Software Engineering","2023-2026",46
"UI/UX & Product Design","2023-2026",1
