"Skill_Name","Occurrence_Count","Penetration_Pct","skill_category"
"Java",83,27.67,"Programming Language"
"Docker",70,23.33,"Cloud/DevOps"
"Python",61,20.33,"Programming Language"
"Node.js",57,19,"Framework/Library"
".NET",56,18.67,"Framework/Library"
"Spring Boot",53,17.67,"Framework/Library"
"TypeScript",48,16,"Programming Language"
"MySQL",47,15.67,"Database"
"React",47,15.67,"Framework/Library"
"JIRA",46,15.33,"Tool/Methodology"
"PostgreSQL",46,15.33,"Database"
"Linux",43,14.33,"Tool/Methodology"
"C#",40,13.33,"Programming Language"
"Manual Testing",36,12,"Tool/Methodology"
"Playwright",35,11.67,"Tool/Methodology"
"Cypress",34,11.33,"Tool/Methodology"
"JMeter",32,10.67,"Tool/Methodology"
"Postman",32,10.67,"Tool/Methodology"
"Selenium",32,10.67,"Tool/Methodology"
"REST API",31,10.33,"Tool/Methodology"
"SQL",29,9.67,"Database"
"Terraform",24,8,"Cloud/DevOps"
"AWS",22,7.33,"Cloud/DevOps"
"Azure",22,7.33,"Cloud/DevOps"
"PyTorch",22,7.33,"Framework/Library"
"Kubernetes",21,7,"Cloud/DevOps"
"CI/CD",20,6.67,"Tool/Methodology"
"Power BI",15,5,"Tool/Methodology"
"Agile",14,4.67,"Tool/Methodology"
"Pandas",14,4.67,"Framework/Library"
"TensorFlow",14,4.67,"Framework/Library"
"Figma",10,3.33,"Tool/Methodology"
"Vulnerability Assessment",10,3.33,"Domain/Other"
"Business Analysis",9,3,"Domain/Other"
"REST",9,3,"Domain/Other"
"Wireframes",9,3,"Domain/Other"
"PySpark",8,2.67,"Framework/Library"
"Design Systems",7,2.33,"Domain/Other"
"Project Management",7,2.33,"Domain/Other"
"Spark",7,2.33,"Framework/Library"
"User Research",7,2.33,"Domain/Other"
"Interactive Prototypes",6,2,"Domain/Other"
"Requirements Analysis",6,2,"Domain/Other"
"ISO 27001",5,1.67,"Domain/Other"
"Prototyping",5,1.67,"Domain/Other"
"Active Directory",4,1.33,"Tool/Methodology"
"CCNA",4,1.33,"Domain/Other"
"Cisco",4,1.33,"Tool/Methodology"
"Design Tokens",4,1.33,"Domain/Other"
"Firewall Configuration",4,1.33,"Domain/Other"
"Network Security",4,1.33,"Domain/Other"
"Sprint Planning",4,1.33,"Domain/Other"
"UX Research",4,1.33,"Domain/Other"
"Windows Server",4,1.33,"Tool/Methodology"
"Wireframing",4,1.33,"Domain/Other"
"Desktop Troubleshooting",3,1,"Domain/Other"
"Hardware Support",3,1,"Domain/Other"
"ISO27001",3,1,"Domain/Other"
"Networking",3,1,"Domain/Other"
"QRadar",3,1,"Domain/Other"
"Splunk",3,1,"Tool/Methodology"
"TCP/IP",3,1,"Domain/Other"
"SIEM",2,0.67,"Tool/Methodology"
"VAPT",2,0.67,"Domain/Other"
