"Skill_Name","Era","Count"
".NET","2016-2019",27
"Active Directory","2016-2019",1
"Agile","2016-2019",5
"AWS","2016-2019",11
"Azure","2016-2019",10
"Business Analysis","2016-2019",3
"C#","2016-2019",19
"CCNA","2016-2019",2
"CI/CD","2016-2019",8
"Cisco","2016-2019",1
"Cypress","2016-2019",15
"Design Systems","2016-2019",6
"Design Tokens","2016-2019",1
"Desktop Troubleshooting","2016-2019",0
"Docker","2016-2019",30
"Figma","2016-2019",8
"Firewall Configuration","2016-2019",2
"Hardware Support","2016-2019",2
"Interactive Prototypes","2016-2019",4
"ISO 27001","2016-2019",4
"ISO27001","2016-2019",1
"Java","2016-2019",37
"JIRA","2016-2019",18
"JMeter","2016-2019",17
"Kubernetes","2016-2019",10
"Linux","2016-2019",21
"Manual Testing","2016-2019",16
"MySQL","2016-2019",29
"Network Security","2016-2019",4
"Networking","2016-2019",1
"Node.js","2016-2019",26
"Pandas","2016-2019",6
"Playwright","2016-2019",18
"PostgreSQL","2016-2019",18
"Postman","2016-2019",14
"Power BI","2016-2019",7
"Project Management","2016-2019",3
"Prototyping","2016-2019",3
"PySpark","2016-2019",2
"Python","2016-2019",23
"PyTorch","2016-2019",8
"QRadar","2016-2019",3
"React","2016-2019",21
"Requirements Analysis","2016-2019",3
"REST","2016-2019",3
"REST API","2016-2019",13
"Selenium","2016-2019",17
"SIEM","2016-2019",0
"Spark","2016-2019",3
"Splunk","2016-2019",3
"Spring Boot","2016-2019",20
"Sprint Planning","2016-2019",3
"SQL","2016-2019",13
"TCP/IP","2016-2019",0
"TensorFlow","2016-2019",6
"Terraform","2016-2019",9
"TypeScript","2016-2019",15
"User Research","2016-2019",5
"UX Research","2016-2019",2
"VAPT","2016-2019",2
"Vulnerability Assessment","2016-2019",6
"Windows Server","2016-2019",2
"Wireframes","2016-2019",7
"Wireframing","2016-2019",3
".NET","2020-2022",11
"Active Directory","2020-2022",2
"Agile","2020-2022",5
"AWS","2020-2022",5
"Azure","2020-2022",8
"Business Analysis","2020-2022",2
